adress,gu,dong,name,count,lat,long,years,sep_years
개포동 141,강남구,개포동,개포주공 1단지,337,37.478368,127.0614839,1982,30년이상
개포동 189,강남구,개포동,개포주공 4단지,188,37.4855371,127.0714351,1982,30년이상
개포동 187,강남구,개포동,개포주공 5단지,50,37.4875354,127.0686558,1983,30년이상
개포동 185,강남구,개포동,개포주공 6단지,131,37.4888326,127.071487,1983,30년이상
개포동 12,강남구,개포동,성원대치2단지아파트,204,37.4939654,127.0750977,1992,20~30년
개포동 656,강남구,개포동,시영,65,37.4785609,127.0542624,1984,30년이상
개포동 655-3,강남구,개포동,쌍용,1,37.4810335,127.0532554,1995,20~30년
개포동 1164-7,강남구,개포동,아람손프라자/비바빌,1,37.4727746,127.0523738,2001,10~20년
개포동 651-1,강남구,개포동,"우성9차아파트 901동, 902동",32,37.4848024,127.0571779,1991,20~30년
개포동 1260-11,강남구,개포동,우찬현대(1260-11),1,37.4793154,127.0489038,2006,10~20년
개포동 1164-28,강남구,개포동,포이벨리,3,37.4745812,127.0551887,2001,10~20년
논현동 196,강남구,논현동,거평프리젠,8,37.5062954,127.0276384,1996,20~30년
논현동 214-2,강남구,논현동,논현베르빌,6,37.5125829,127.032682,2002,10~20년
논현동 105,강남구,논현동,동현아파트 1~6,20,37.5193601,127.0366998,1985,30년이상
논현동 103,강남구,논현동,쌍용,12,37.5196689,127.0379979,1995,20~30년
논현동 105-4,강남구,논현동,한진로즈힐,7,37.5206817,127.037115,2004,10~20년
대치동 503,강남구,대치동,개포우성1,40,37.491182,127.05991,1983,30년이상
대치동 888,강남구,대치동,대치아이파크,71,37.495014,127.0545774,2008,10~20년
대치동 63,강남구,대치동,"대치우성아파트1동, 2동, 3동, 5동, 6동, 7동",7,37.5002033,127.0691228,1984,30년이상
대치동 907-2,강남구,대치동,대치한신휴플러스,9,37.5013596,127.0515885,2005,10~20년
대치동 670,강남구,대치동,동부센트레빌,71,37.4925092,127.0559479,2005,10~20년
대치동 985,강남구,대치동,래미안 대치 하이스턴,43,37.500937,127.0653883,1989,20~30년
대치동 1027,강남구,대치동,래미안대치팰리스,137,37.4994914,127.0610527,2015,10년미만
대치동 1025,강남구,대치동,롯데캐슬리베,14,37.4962859,127.053971,2008,10~20년
대치동 506,강남구,대치동,선경1차(1동-7동),67,37.4920987,127.0625605,1983,30년이상
대치동 890-49,강남구,대치동,선릉역대우아이빌(890-49),7,37.5044448,127.0515902,2004,10~20년
대치동 975-20,강남구,대치동,세영팔레스타운,3,37.5007327,127.062111,2002,10~20년
대치동 316,강남구,대치동,은마,325,37.4974576,127.0653265,1979,30년이상
대치동 891-6,강남구,대치동,테헤란로대우아이빌(891-6),11,37.5056037,127.0542018,2004,10~20년
대치동 902,강남구,대치동,포스코더샵,20,37.5040431,127.0572425,2004,10~20년
대치동 511,강남구,대치동,한보미도맨션1,92,37.4935161,127.0673376,1983,30년이상
대치동 933,강남구,대치동,한티(933-0),4,37.4989537,127.0570995,2004,10~20년
도곡동 467-6,강남구,도곡동,대림아크로빌,29,37.4881387,127.0511666,2002,10~20년
도곡동 527,강남구,도곡동,도곡렉슬,335,37.4936848,127.0507447,2006,10~20년
도곡동 933,강남구,도곡동,도곡쌍용예가,29,37.4879716,127.0380857,2011,10년미만
도곡동 966,강남구,도곡동,매봉삼성,17,37.4891712,127.0488071,1999,10~20년
도곡동 869,강남구,도곡동,삼익,20,37.4907129,127.0421113,1983,30년이상
도곡동 952-14,강남구,도곡동,원팰리스,1,37.4862038,127.0340128,2003,10~20년
도곡동 467,강남구,도곡동,타워팰리스1,85,37.4882818,127.0544123,2002,10~20년
도곡동 467-17,강남구,도곡동,타워팰리스2,57,37.4896405,127.0545117,2003,10~20년
도곡동 467-29,강남구,도곡동,타워팰리스3,22,37.4873934,127.0527274,2004,10~20년
도곡동 464,강남구,도곡동,한신(개포),30,37.4869126,127.0489647,1985,30년이상
도곡동 467-19,강남구,도곡동,현대비젼21,18,37.4873002,127.051556,1999,10~20년
삼성동 99-1,강남구,삼성동,골든빌(99-1),3,37.5177919,127.065143,1999,10~20년
삼성동 7-3,강남구,삼성동,래미안삼성2차,36,37.5161739,127.0434589,2007,10~20년
삼성동 11,강남구,삼성동,롯데캐슬프레미어,42,37.5151584,127.0451257,2007,10~20년
삼성동 14-1,강남구,삼성동,삼성동중앙하이츠빌리지,19,37.5159844,127.0462102,2004,10~20년
삼성동 4-6,강남구,삼성동,삼성동한솔아파트,19,37.5173694,127.0455489,1998,20~30년
삼성동 16-2,강남구,삼성동,삼성동힐스테이트 1단지,55,37.5162276,127.0485407,2008,10~20년
삼성동 104,강남구,삼성동,삼성풍림2차아파트,4,37.5159545,127.0625077,1998,20~30년
삼성동 19-4,강남구,삼성동,상아아파트,26,37.5176314,127.0499901,1981,30년이상
삼성동 64-7,강남구,삼성동,세방타운하우스,2,37.5174595,127.0529334,1998,20~30년
삼성동 87,강남구,삼성동,아이파크,27,37.5180985,127.0591595,2004,10~20년
삼성동 4-3,강남구,삼성동,푸른솔아파트1동,8,37.5177913,127.0460152,1996,20~30년
삼성동 50,강남구,삼성동,현대힐스테이트 2단지,46,37.5138493,127.0515142,2008,10~20년
세곡동 579,강남구,세곡동,강남엘에이치1단지,76,37.4692712,127.1073203,2013,10년미만
세곡동 533,강남구,세곡동,세곡푸르지오,71,37.4692712,127.1073203,2012,10년미만
수서동 746,강남구,수서동,까치마을,110,37.4846721,127.0873935,1993,20~30년
수서동 747,강남구,수서동,삼성,45,37.4848802,127.09066,1997,20~30년
수서동 708,강남구,수서동,삼익,42,37.4890673,127.101008,1983,30년이상
수서동 736,강남구,수서동,신동아,117,37.4870719,127.0983474,1992,20~30년
신사동 523-4,강남구,신사동,신사동씨티빌,2,37.5210669,127.0206195,2002,10~20년
신사동 622,강남구,신사동,신성아파트 101동,4,37.5261447,127.0320408,1996,20~30년
신사동 593-32,강남구,신사동,토미,5,37.5221919,127.0297501,2004,10~20년
압구정동 490,강남구,압구정동,영동한양아파트9동,54,37.5302705,127.0387567,1977,30년이상
압구정동 513,강남구,압구정동,한양아파트 55동,20,37.5289036,127.0419761,1979,30년이상
압구정동 486,강남구,압구정동,한양아파트 제45동,13,37.5308644,127.0368902,1978,30년이상
압구정동 369-1,강남구,압구정동,현대아파트 25동,50,37.5328218,127.0280273,1976,30년이상
압구정동 433,강남구,압구정동,현대아파트 제127동,15,37.527481,127.024268,1983,30년이상
압구정동 455,강남구,압구정동,현대아파트 제72동,15,37.5320757,127.0284556,1977,30년이상
압구정동 481,강남구,압구정동,현대아파트 제95동,27,37.5307261,127.0352887,1980,30년이상
압구정동 456,강남구,압구정동,현대아파트79동,55,37.5300542,127.028845,1978,30년이상
역삼동 755-4,강남구,역삼동,e-편한세상,68,37.4987189,127.0499436,2005,10~20년
역삼동 754,강남구,역삼동,개나리래미안,30,37.498551,127.0464387,2006,10~20년
역삼동 783-3,강남구,역삼동,갤러리하우스,1,37.4943792,127.0434418,2002,10~20년
역삼동 835-67,강남구,역삼동,금호어울림,27,37.4920581,127.0349054,2003,10~20년
역삼동 761-10,강남구,역삼동,대림역삼,12,37.4960577,127.0463178,1997,20~30년
역삼동 720-25,강남구,역삼동,대우디오빌,37,37.5013456,127.0427038,2002,10~20년
역삼동 763-16,강남구,역삼동,래미안그레이튼,47,37.4964269,127.0482989,2009,10년미만
역삼동 762-3,강남구,역삼동,래미안그레이튼(진달래2차),53,37.4953338,127.0472735,2011,10년미만
역삼동 747-5,강남구,역삼동,브라운스톤역삼,3,37.4956162,127.0378689,2004,10~20년
역삼동 778,강남구,역삼동,쎄비앙 101동,2,37.4957961,127.0428278,2007,10~20년
역삼동 713-11,강남구,역삼동,역삼 I'PARK,64,37.4994913,127.0466111,2006,10~20년
역삼동 757,강남구,역삼동,역삼래미안,69,37.4972705,127.0502289,2005,10~20년
역삼동 707-18,강남구,역삼동,역삼우정에쉐르2,5,37.5025992,127.0458512,2004,10~20년
역삼동 754-1,강남구,역삼동,역삼푸르지오,71,37.4976537,127.0467951,2006,10~20년
역삼동 836,강남구,역삼동,한스빌(836),14,37.4918016,127.0329659,1996,20~30년
역삼동 706-20,강남구,역삼동,한화진넥스빌,27,37.5019467,127.0442817,2001,10~20년
일원동 735,강남구,일원동,가람,25,37.4824572,127.0852937,1993,20~30년
일원동 716,강남구,일원동,목련타운,32,37.4849458,127.0851548,1993,20~30년
일원동 734,강남구,일원동,상록수,38,37.4819336,127.082142,1993,20~30년
일원동 718,강남구,일원동,샘터마을,34,37.4842931,127.082553,1994,20~30년
일원동 711,강남구,일원동,수서,45,37.492615,127.0902134,1992,20~30년
일원동 615,강남구,일원동,우성7,38,37.492341,127.0781235,1987,30년이상
일원동 719,강남구,일원동,푸른마을 아파트 101동~111동,67,37.4837623,127.0808047,1994,20~30년
자곡동 611,강남구,자곡동,래미안강남힐즈,69,37.474172,127.0950243,2014,10년미만
청담동 69-18,강남구,청담동,동양파라곤,8,37.5215874,127.0544198,2006,10~20년
청담동 129-7,강남구,청담동,빌폴라리스,3,37.5254584,127.05376,2009,10년미만
청담동 60,강남구,청담동,삼성청담공원아파트,26,37.5222908,127.0505578,1999,10~20년
청담동 127-37,강남구,청담동,상지리츠빌5B,1,37.5263003,127.0523363,2001,10~20년
청담동 128-18,강남구,청담동,상지리츠빌카일룸2차,2,37.5263478,127.0541029,2006,10~20년
청담동 104-13,강남구,청담동,씨티2(104-13),1,37.5283982,127.048781,1992,20~30년
청담동 102,강남구,청담동,연세리버테라스,2,37.5288701,127.0466276,2003,10~20년
청담동 15,강남구,청담동,이편한세상,6,37.5205742,127.0450669,2005,10~20년
청담동 122-35,강남구,청담동,청담 신원아침도시마인,8,37.5263893,127.0496177,2013,10년미만
청담동 134-15,강남구,청담동,청담삼익아파트,55,37.5232742,127.0591658,1980,30년이상
청담동 134-38,강남구,청담동,청담자이,41,37.5235476,127.0574077,2012,10년미만
청담동 127-31,강남구,청담동,청담현대3차아파트,23,37.5268675,127.052836,1999,10~20년
청담동 106,강남구,청담동,현대한강,3,37.5280387,127.0502451,1992,20~30년
강일동 695,강동구,강일동,강일리버파크10단지,19,37.5599813,127.1806821,2009,10년미만
강일동 707,강동구,강일동,고덕리엔파크1단지,18,37.5609818,127.171693,2011,10년미만
고덕동 499,강동구,고덕동,고덕 아이파크,112,37.5589219,127.1551489,2011,10년미만
고덕동 688,강동구,고덕동,고덕래미안 힐스테이트아파트,275,37.0372129,127.0243352,2016,10년미만
고덕동 312,강동구,고덕동,배재현대,53,37.5563298,127.1522909,1995,20~30년
길동 339-1,강동구,길동,동서울오네뜨,11,37.5425714,127.1436395,2009,10년미만
길동 383-6,강동구,길동,동심훼밀리,4,37.5391663,127.1368291,2002,10~20년
길동 53,강동구,길동,삼익파크맨션,138,37.5433988,127.1485231,1982,30년이상
길동 160,강동구,길동,신동아,154,37.5396021,127.1494478,1992,20~30년
길동 382-6,강동구,길동,우성,3,37.5388104,127.1373221,1996,20~30년
길동 385-4,강동구,길동,이스트드림힐,8,37.5378543,127.1365716,2003,10~20년
길동 415-16,강동구,길동,청광플러스원큐브3차,7,37.5363563,127.1362663,2014,10년미만
길동 456-2,강동구,길동,하이브,7,37.5353382,127.1373813,2006,10~20년
길동 384-1,강동구,길동,한빛골드빌1차,11,37.5384632,127.1363009,2001,10~20년
둔촌동 94-16,강동구,둔촌동,동아,3,37.5287327,127.1444584,1992,20~30년
둔촌동 170-1,강동구,둔촌동,둔촌주공1단지,345,37.5268861,127.1388295,1980,30년이상
둔촌동 174-1,강동구,둔촌동,둔촌주공2단지,210,37.5225272,127.1376533,1980,30년이상
둔촌동 630,강동구,둔촌동,둔촌푸르지오,96,37.5341192,127.146446,2010,10년미만
둔촌동 555,강동구,둔촌동,신동아파밀리에,34,37.5291205,127.1417805,2002,10~20년
둔촌동 546,강동구,둔촌동,신성둔촌미소지움1,51,37.5278875,127.1427122,1998,20~30년
둔촌동 134-10,강동구,둔촌동,신성둔촌미소지움2,35,37.5272708,127.1437884,2000,10~20년
둔촌동 556,강동구,둔촌동,암펠로스타워,5,37.5287781,127.1431444,2006,10~20년
둔촌동 64,강동구,둔촌동,청호 뜨레피움 퍼스트 아파트,12,37.5334717,127.1420226,2016,10년미만
둔촌동 621,강동구,둔촌동,초원동아,21,37.5332363,127.145595,1997,20~30년
둔촌동 30-4,강동구,둔촌동,현대1차아파트,74,37.5318428,127.1465296,1984,30년이상
둔촌동 89,강동구,둔촌동,현대4,22,37.5295973,127.1435276,1996,20~30년
명일동 257,강동구,명일동,고덕주공9,141,37.5477835,127.1508034,1985,30년이상
명일동 332,강동구,명일동,명일엘지,101,37.5488625,127.1462428,1999,10~20년
명일동 270,강동구,명일동,삼익가든,66,37.547216,127.1475845,1984,30년이상
명일동 15,강동구,명일동,삼익그린2차,267,37.5521991,127.1484932,1983,30년이상
명일동 357,강동구,명일동,에스엠해그린,3,37.5452295,127.1457558,2004,10~20년
명일동 54,강동구,명일동,한양,36,37.5503962,127.1551501,1986,30년이상
명일동 251-1,강동구,명일동,현대(명일),24,37.5483935,127.1487967,1988,30년이상
상일동 490,강동구,상일동,고덕리엔파크3단지,72,37.5525612,127.1752562,2011,10년미만
상일동 121,강동구,상일동,주공3,20,37.5551975,127.1686842,1983,30년이상
상일동 131,강동구,상일동,주공5,15,37.5520084,127.1669847,1983,30년이상
상일동 124,강동구,상일동,주공6,96,37.5522472,127.1706987,1983,30년이상
상일동 476,강동구,상일동,중앙하이츠,37,37.550417,127.1595919,1992,20~30년
성내동 244-8,강동구,성내동,늘조은,7,37.5343162,127.1352557,2003,10~20년
성내동 13-15,강동구,성내동,동남드림빌,3,37.5365367,127.1277112,2006,10~20년
성내동 419-1,강동구,성내동,둔촌역청구,20,37.5293785,127.133059,1999,10~20년
성내동 565,강동구,성내동,선광,3,37.5271274,127.1265434,1997,20~30년
성내동 590,강동구,성내동,성내동삼성아파트,148,37.5312336,127.1263066,1999,10~20년
성내동 593,강동구,성내동,영풍마드레빌,10,37.5272062,127.1228316,2002,10~20년
성내동 459-2,강동구,성내동,청구빌라트,2,37.5269595,127.122365,1999,10~20년
성내동 448-14,강동구,성내동,하나플러스,4,37.5240327,127.1300097,2003,10~20년
성내동 597,강동구,성내동,한솔애리즈2차,4,37.5289172,127.1341708,2003,10~20년
성내동 244-5,강동구,성내동,한양립스,5,37.5341153,127.135757,2014,10년미만
성내동 30-2,강동구,성내동,현대,7,37.5351532,127.1267972,1987,30년이상
성내동 455-3,강동구,성내동,호암아펙스,5,37.5285166,127.1217686,2006,10~20년
암사동 414-2,강동구,암사동,롯데캐슬퍼스트,342,37.5563679,127.1419695,2008,10~20년
암사동 509,강동구,암사동,선사현대아파트,333,37.552482,127.1256829,2000,10~20년
암사동 493-14,강동구,암사동,중앙하이츠,12,37.5511824,127.1321093,1992,20~30년
암사동 413,강동구,암사동,프라이어팰리스,226,37.5535701,127.1393668,2007,10~20년
암사동 442-1,강동구,암사동,한강현대,45,37.5552654,127.1317903,1999,10~20년
암사동 504-8,강동구,암사동,한건,3,37.5528241,127.1277126,2001,10~20년
암사동 400,강동구,암사동,현대홈타운,47,37.5565995,127.1390004,2004,10~20년
천호동 46,강동구,천호동,강동이루미,4,37.5437299,127.1403739,2005,10~20년
천호동 447-17,강동구,천호동,강동헤르셔,13,37.5366104,127.1333102,2015,10년미만
천호동 568,강동구,천호동,강변그대가 리버뷰,30,37.5478532,127.1232337,2007,10~20년
천호동 570,강동구,천호동,강변그대가갤럭시,14,37.5464948,127.122557,2009,10년미만
천호동 49-8,강동구,천호동,대명사이버,5,37.5433406,127.1401261,2001,10~20년
천호동 425-5,강동구,천호동,대우한강베네시티,30,37.540481,127.1249608,2007,10~20년
천호동 414,강동구,천호동,두산위브센티움,20,37.5393795,127.1269776,2004,10~20년
천호동 317-31,강동구,천호동,부강,2,37.5477564,127.1252424,2006,10~20년
천호동 528,강동구,천호동,삼성,36,37.5383919,127.1350491,1997,20~30년
천호동 49-4,강동구,천호동,천호1차예전이룸,6,37.5431786,127.1391593,2004,10~20년
천호동 50,강동구,천호동,천호2차우림루미아트,6,37.5430541,127.1406284,2004,10~20년
천호동 333-55,강동구,천호동,천호e편한세상,17,37.5443975,127.1242983,2005,10~20년
천호동 55-4,강동구,천호동,천호롯데,9,37.5415404,127.1379107,1999,10~20년
천호동 410-100,강동구,천호동,코오롱상가,27,37.5386759,127.1283324,1988,30년이상
천호동 338-20,강동구,천호동,한건브리앙,7,37.5427224,127.1223613,2004,10~20년
천호동 237,강동구,천호동,한신,38,37.545712,127.1347936,1991,20~30년
천호동 166-109,강동구,천호동,현진에스페랑스,2,37.5380209,127.1310285,2004,10~20년
미아동 796,강북구,미아동,경남아너스빌,19,37.6288606,127.0186528,2008,10~20년
미아동 1351,강북구,미아동,두원프라자,5,37.62252,127.0270305,1996,20~30년
미아동 813,강북구,미아동,래미안트리베라1단지,80,37.6142301,127.0208782,2010,10년미만
미아동 797,강북구,미아동,미아1차래미안,20,37.6256766,127.0202047,2006,10~20년
미아동 474,강북구,미아동,미아동부센트레빌,53,37.6136035,127.0257297,2006,10~20년
미아동 137-7,강북구,미아동,신대상,1,37.6189237,127.0310465,2002,10~20년
미아동 152,강북구,미아동,요진,13,37.6334239,127.0268657,2005,10~20년
미아동 561-2,강북구,미아동,현대성우,12,37.6171833,127.0220243,1998,20~30년
번동 656,강북구,번동,금호,13,37.6305353,127.0355544,1998,20~30년
번동 118-15,강북구,번동,꿈의숲수림채,2,37.623972,127.045394,2006,10~20년
번동 204,강북구,번동,신원,26,37.6257387,127.043364,2000,10~20년
번동 760,강북구,번동,오동공원현대,16,37.6313576,127.0355143,2001,10~20년
번동 242,강북구,번동,주공1단지,138,37.6245804,127.0470877,1991,20~30년
번동 148-494,강북구,번동,현대(148-494),5,37.6249254,127.0375244,1997,20~30년
번동 418-3,강북구,번동,효성인텔리안,10,37.6386636,127.0270104,2005,10~20년
수유동 553-61,강북구,수유동,극동,29,37.6419848,127.0123693,1992,20~30년
수유동 45-93,강북구,수유동,대성월드빌,1,37.6351437,127.0214967,2002,10~20년
수유동 730,강북구,수유동,래미안수유,32,37.6446258,127.0184295,2001,10~20년
수유동 205,강북구,수유동,수유벽산1차,94,37.6421703,127.0189389,1993,20~30년
수유동 729,강북구,수유동,수유현대,6,37.6453609,127.0185173,2000,10~20년
우이동 342,강북구,우이동,대우,17,37.6551449,127.0112601,2000,10~20년
가양동 1461,강서구,가양동,가양2단지(성지),168,37.5703714,126.8474442,1992,20~30년
가양동 1485,강서구,가양동,가양6단지,149,37.5631529,126.8592772,1992,20~30년
가양동 448-1,강서구,가양동,가양강나루현대,58,36.3491962,127.4402352,1999,10~20년
가양동 1490,강서구,가양동,가양도시개발9-2단지,102,37.5586974,126.8636778,1993,20~30년
가양동 14-3,강서구,가양동,가양우성,38,37.562252,126.8540764,1990,20~30년
가양동 448,강서구,가양동,강나루2현대,4,37.5612647,126.8558686,2001,10~20년
가양동 1475,강서구,가양동,강변,116,37.5651111,126.8554837,1992,20~30년
가양동 1500,강서구,가양동,강서한강자이,70,37.5648322,126.8342406,2013,10년미만
가양동 1474,강서구,가양동,대림경동,35,37.5662269,126.8539397,1993,20~30년
가양동 448-9,강서구,가양동,빛고을우방,18,36.3481304,127.440898,1999,10~20년
가양동 1467,강서구,가양동,중앙하이츠,12,37.56974,126.8491247,1992,20~30년
가양동 1495,강서구,가양동,한보구암마을,34,37.568067,126.8489569,1999,10~20년
공항동 1374,강서구,공항동,공항동부센트레빌,17,37.5606,126.8081657,2009,10년미만
내발산동 715-5,강서구,내발산동,광성금강,5,37.5486424,126.8336941,2001,10~20년
내발산동 733,강서구,내발산동,내발산우신웨스트빌,4,37.5533903,126.8377555,2005,10~20년
내발산동 741,강서구,내발산동,마곡수명산파크2단지,29,37.5543298,126.8274306,2007,10~20년
내발산동 657,강서구,내발산동,우장산힐스테이트,142,37.5560356,126.840219,2005,10~20년
내발산동 672-15,강서구,내발산동,원다벨라빌,2,37.553571,126.8405481,2001,10~20년
내발산동 688-5,강서구,내발산동,이너스,2,37.5527871,126.8315019,2003,10~20년
내발산동 665-17,강서구,내발산동,천우네오젠,1,37.5547059,126.8388578,2006,10~20년
내발산동 711-6,강서구,내발산동,청솔수(711-6),2,37.5500954,126.8325613,2007,10~20년
내발산동 738,강서구,내발산동,청솔숲속마을 102동,4,37.5518307,126.8398689,2007,10~20년
내발산동 722-16,강서구,내발산동,태승훼미리,5,37.5482324,126.8351513,2004,10~20년
등촌동 631-9,강서구,등촌동,대동황토방,30,37.5560243,126.8624825,2000,10~20년
등촌동 694,강서구,등촌동,대림,38,37.562539,126.8465439,1995,20~30년
등촌동 707,강서구,등촌동,"등촌7,8단지주공아파트",46,37.5607314,126.851613,1994,20~30년
등촌동 641-4,강서구,등촌동,등촌동보람쉬움아파트,4,37.5561214,126.8572329,2003,10~20년
등촌동 715,강서구,등촌동,등촌동아이파크,116,37.5437876,126.8604505,2004,10~20년
등촌동 630-3,강서구,등촌동,우성,15,37.5572933,126.8597174,1996,20~30년
등촌동 562-5,강서구,등촌동,임광,16,37.5400888,126.8633402,2000,10~20년
등촌동 702,강서구,등촌동,주공10,53,37.5623301,126.8484034,1995,20~30년
등촌동 688,강서구,등촌동,주공3,79,37.5616888,126.8411456,1983,30년이상
등촌동 695,강서구,등촌동,주공5,92,37.5604386,126.8447789,1983,30년이상
등촌동 701,강서구,등촌동,진로아파트,28,37.5597721,126.8471049,1994,20~30년
등촌동 654-79,강서구,등촌동,풍성애뜨란아파트,2,37.5554137,126.8574712,2016,10년미만
마곡동 717,강서구,마곡동,마곡금호어울림,8,37.574442,126.8374929,2005,10~20년
마곡동 743,강서구,마곡동,마곡엠밸리6단지,18,37.5764888,126.8307466,2014,10년미만
마곡동 741,강서구,마곡동,마곡엠밸리8단지,2,37.5764888,126.8307466,2016,10년미만
마곡동 750,강서구,마곡동,마곡엠벨리(14단지),22,37.5764888,126.8307466,2014,10년미만
마곡동 751,강서구,마곡동,마곡엠벨리(15단지),19,37.5764888,126.8307466,2014,10년미만
마곡동 429,강서구,마곡동,벽산,37,37.5756747,126.8376866,1999,10~20년
마곡동 716,강서구,마곡동,한솔솔파크,20,37.5696194,126.8231883,2005,10~20년
방화동 887,강서구,방화동,개화산경남아너스빌,9,37.571871,126.8086268,2007,10~20년
방화동 867,강서구,방화동,길성그랑프리텔,7,37.5691495,126.8162023,2002,10~20년
방화동 817,강서구,방화동,동성,55,37.5795421,126.8121795,1993,20~30년
방화동 890,강서구,방화동,마곡푸르지오,25,37.5700024,126.821748,2008,10~20년
방화동 871,강서구,방화동,방신서광,8,37.5720209,126.8106247,2003,10~20년
방화동 852,강서구,방화동,방화12도시개발공사,85,37.5707897,126.8068328,1994,20~30년
방화동 546-1,강서구,방화동,방화3차우림필유,11,37.5681192,126.8082734,2005,10~20년
방화동 814,강서구,방화동,방화5,89,37.5772126,126.8103621,1994,20~30년
방화동 839,강서구,방화동,방화그린,108,37.574644,126.8189919,1993,20~30년
방화동 585-4,강서구,방화동,삼미,16,37.5674706,126.8085599,1982,30년이상
방화동 858,강서구,방화동,삼성꽃마을,16,37.5720871,126.8130881,1997,20~30년
방화동 796,강서구,방화동,신동아,23,37.5698692,126.8158151,1992,20~30년
방화동 868,강서구,방화동,신안네트빌1단지,14,37.5711117,126.8100811,2002,10~20년
방화동 873,강서구,방화동,우림루미아트,4,37.5717784,126.8150004,2003,10~20년
방화동 841,강서구,방화동,장미,33,37.5744082,126.8173972,1994,20~30년
방화동 832,강서구,방화동,청솔,51,37.5755568,126.8129764,1994,20~30년
방화동 860,강서구,방화동,치현마을서광,13,37.5792992,126.8193112,1998,20~30년
염창동 240-1,강서구,염창동,강변월드메르디앙,20,37.557685,126.865401,2010,10년미만
염창동 300,강서구,염창동,강변한솔솔파크,32,37.5566947,126.8665207,2005,10~20년
염창동 280,강서구,염창동,극동상록수,18,37.5487744,126.872325,1999,10~20년
염창동 240-32,강서구,염창동,금호타운,34,37.5562443,126.8651196,1999,10~20년
염창동 294,강서구,염창동,길훈,4,37.5557753,126.8678927,1999,10~20년
염창동 262-2,강서구,염창동,대림,12,37.5482413,126.8754791,1995,20~30년
염창동 292,강서구,염창동,동아,72,37.554456,126.8729524,1992,20~30년
염창동 257,강서구,염창동,리버펠리스1동,1,37.5509894,126.8771727,2001,10~20년
염창동 290,강서구,염창동,벽산늘푸른,25,37.5579625,126.8659582,1998,20~30년
염창동 248-3,강서구,염창동,삼성하나로,20,37.5516302,126.8717139,1994,20~30년
염창동 244-2,강서구,염창동,삼성한마음,41,37.5544448,126.8682026,1995,20~30년
염창동 250-1,강서구,염창동,삼현팰리채,2,37.5504906,126.8738123,2008,10~20년
염창동 264-18,강서구,염창동,송촌,4,37.5494681,126.8727899,2005,10~20년
염창동 289,강서구,염창동,신동아,37,37.555035,126.8689633,1992,20~30년
염창동 305,강서구,염창동,염창1차보람더하임,17,37.5515542,126.8703581,2008,10~20년
염창동 271-5,강서구,염창동,염창2차보람,2,37.5523362,126.8673382,2006,10~20년
염창동 302,강서구,염창동,염창2차한화꿈에그린,15,37.5516435,126.8667907,2006,10~20년
염창동 301,강서구,염창동,염창3차보람,1,37.5527838,126.8738128,2006,10~20년
염창동 307,강서구,염창동,이너스내안에,5,37.5540319,126.8717993,2011,10년미만
염창동 298,강서구,염창동,일신건영휴먼빌,16,37.552049,126.8733927,2004,10~20년
염창동 263-2,강서구,염창동,주상복합태진가람,5,37.5494819,126.874425,1995,20~30년
염창동 270-1,강서구,염창동,태영,32,37.55338,126.8670949,1999,10~20년
염창동 288,강서구,염창동,현대1,29,37.5527629,126.8750275,1994,20~30년
염창동 249-11,강서구,염창동,현대2,13,37.5510164,126.8727292,1993,20~30년
염창동 291,강서구,염창동,현대3,12,37.5520168,126.8759667,1996,20~30년
화곡동 925-3,강서구,화곡동,SR vill(925-3),29,37.5296129,126.8426931,2013,10년미만
화곡동 1071-19,강서구,화곡동,강서뉴타워,27,37.5390419,126.8354199,2013,10년미만
화곡동 1165,강서구,화곡동,강서힐스테이트,189,37.5381184,126.8471024,2014,10년미만
화곡동 1111-3,강서구,화곡동,경동엠파이어스테이트,6,37.5542856,126.8518115,2012,10년미만
화곡동 918-14,강서구,화곡동,도양라비앙아파트,2,37.5296746,126.8444854,2016,10년미만
화곡동 24-147,강서구,화곡동,부영,1,37.5452589,126.8467921,2000,10~20년
화곡동 917-14,강서구,화곡동,삼성다빈치(917-14),12,37.5293389,126.8437879,2015,10년미만
화곡동 899-2,강서구,화곡동,세림,3,37.5302463,126.8466522,2015,10년미만
화곡동 24-124,강서구,화곡동,신원1차(24-124),1,37.5459463,126.845866,2001,10~20년
화곡동 472-13,강서구,화곡동,양용아네스,2,37.5364274,126.8575867,2003,10~20년
화곡동 56-252,강서구,화곡동,우성트윈캐슬A동,2,37.5416604,126.8506088,2003,10~20년
화곡동 1148,강서구,화곡동,우장산롯데,11,37.5523962,126.8463664,2004,10~20년
화곡동 1145,강서구,화곡동,우장산롯데캐슬,61,37.5554767,126.8484772,2003,10~20년
화곡동 1159,강서구,화곡동,"우장산아이파크,이편한세상",233,37.549302,126.8386293,2008,10~20년
화곡동 1158,강서구,화곡동,우장산에스케이뷰,16,37.5480734,126.8431716,2006,10~20년
화곡동 927-1,강서구,화곡동,웰라이빌,10,37.5285275,126.8427291,2000,10~20년
화곡동 901-7,강서구,화곡동,제일에비앙,1,37.5291448,126.8455921,2004,10~20년
화곡동 351-89,강서구,화곡동,중앙화곡하이츠,45,37.5356383,126.8436307,1988,30년이상
화곡동 926-4,강서구,화곡동,지석,3,37.5287512,126.8422041,2002,10~20년
화곡동 367-30,강서구,화곡동,진민그린상가(367-30),4,37.5376157,126.8409332,1996,20~30년
